product_id,brand,title,description,category,subcategory,gender,color,material,fit,sleeve,pattern,price_inr,image_url,injected_defect
P019,Puma,Puma Women's Red Regular Dress,"Red dress designed for everyday wear, featuring a regular fit and polyester construction.",Dress,dress,Women,red,polyester,regular,sleeveless,,699,images/P019.jpg,pattern
P020,HRX,HRX Men's Beige Straight Trousers,"Beige trousers designed for everyday wear, featuring a straight fit and cotton construction.",Trousers,trousers,Men,beige,cotton,straight,full,checked,1699,images/P020.jpg,none
P021,U.S. Polo Assn.,U.S. Polo Assn. Women's Blue Wide Leg Jeans,"Blue jeans designed for everyday wear, featuring a wide leg fit and denim construction.",Jeans,jeans,Women,blue,denim,wide-leg,full,solid,1699,images/P021.jpg,none
P022,Puma,Puma Men's Blue Regular Shirt,"Blue shirt designed for everyday wear, featuring a regular fit and cotton construction.",Shirt,shirt,Men,blue,,regular,full,checked,899,images/P022.jpg,material
P023,HRX,HRX Men's Black Straight Cargo Pants,"Black cargo pants designed for everyday wear, featuring a straight fit and cotton construction.",Cargo Pants,cargo pants,Men,black,cotton,straight,full,solid,2499,images/P023.jpg,none
P024,Mast & Harbour,Mast & Harbour Women's Olive Straight Trousers,"Olive trousers designed for everyday wear, featuring a straight fit and linen construction.",Trousers,trousers,Women,olive,linen,straight,full,,699,images/P024.jpg,pattern
P025,Roadster,Roadster Women's Pink Slim Sneakers,"Pink sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Women,pink,mesh,slim,low-top,solid,1299,images/P025.jpg,none
P026,WROGN,WROGN Men's White Regular Shirt,White shirt designed for everyday w,Shirt,shirt,Men,white,cotton,regular,half,solid,1299,images/P026.jpg,description
P027,Sparx,Sparx Women's Black Regular Handbag,"Black handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,black,leather,regular,medium,solid,1699,images/P027.jpg,none
P028,U.S. Polo Assn.,U.S. Polo Assn. Men's Olive Relaxed Cargo Pants,"Olive cargo pants designed for everyday wear, featuring a relaxed fit and cotton construction.",Cargo Pants,cargo pants,Men,olive,cotton,relaxed,full,solid,899,images/P028.jpg,none
P029,Anouk,Anouk Men's Grey Regular T-Shirt,"Grey t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,grey,cotton,regular,half,graphic,1499,images/P029.jpg,none
P030,Mast & Harbour,Mast & Harbour Women's Olive Straight Trousers,"Olive trousers designed for everyday wear, featuring a straight fit and linen construction.",Trousers,trousers,Women,olive,linen,straight,full,solid,599,images/P030.jpg,none
P031,Levis,Levis Women's White Straight Trousers,"White trousers designed for everyday wear, featuring a straight fit and linen construction.",Trousers,trousers,Women,white,linen,straight,full,,1699,images/P031.jpg,pattern
P032,Tokyo Talkies,Tokyo Talkies Men's Black Oversized T-Shirt,"Black t-shirt designed for everyday wear, featuring a oversized fit and cotton construction.",T-Shirt,t-shirt,Men,black,cotton,oversized,half,solid,699,images/P032.jpg,none
P033,Sparx,Sparx Men's Red Regular Running Shoes,"Red running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Men,red,mesh,regular,low-top,solid,1999,images/P033.jpg,none
P034,Tokyo Talkies,Tokyo Talkies Men's Black Relaxed Jeans,"Black jeans designed for everyday wear, featuring a relaxed fit and denim construction.",Jeans,jeans,Men,black,denim,relaxed,full,solid,799,images/P034.jpg,none
P035,HERE&NOW,HERE&NOW Women's Black Regular Dress,Black dress designed for everyday w,Dress,dress,Women,black,polyester,regular,sleeveless,floral,1699,images/P035.jpg,description
P036,HRX,HRX Men's Beige Relaxed Cargo Pants,"Beige cargo pants designed for everyday wear, featuring a relaxed fit and cotton construction.",Cargo Pants,cargo pants,Men,beige,cotton,relaxed,full,solid,799,images/P036.jpg,none
P037,WROGN,WROGN Men's Grey Slim Jeans,"Grey jeans designed for everyday wear, featuring a slim fit and denim construction.",Jeans,jeans,Men,grey,denim,,full,solid,999,images/P037.jpg,fit
P038,Libas,Libas Men's Navy Slim T-Shirt,Navy t-shirt designed for everyday ,T-Shirt,t-shirt,Men,navy,cotton,slim,half,striped,1199,images/P038.jpg,description
P039,HERE&NOW,HERE&NOW Men's Grey Tapered Jeans,"Grey jeans designed for everyday wear, featuring a tapered fit and denim construction.",Jeans,jeans,Men,grey,denim,tapered,full,solid,2499,images/P039.jpg,none
P040,WROGN,WROGN Men's Navy Regular Kurta,"Navy kurta designed for everyday wear, featuring a regular fit and cotton construction.",Kurta,kurta,Men,navy,cotton,regular,three-quarter,embroidered,2999,images/P040.jpg,none
P041,Levis,Levis Women's Black Regular Running Shoes,"Black running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Women,black,mesh,regular,low-top,solid,599,images/P041.jpg,none
P042,DressBerry,DressBerry Men's Grey Regular T-Shirt,"Grey t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,grey,cotton,regular,half,solid,599,images/P042.jpg,none
P043,Mast & Harbour,Mast & Harbour Women's Black Wide Leg Jeans,"Black jeans designed for everyday wear, featuring a wide leg fit and denim construction.",Jeans,jeans,Women,black,denim,wide-leg,full,solid,799,images/P043.jpg,none
P044,Anouk,Anouk Men's Grey Relaxed Cargo Pants,"Grey cargo pants designed for everyday wear, featuring a relaxed fit and cotton construction.",Cargo Pants,cargo pants,Men,grey,cotton,relaxed,full,solid,1299,images/P044.jpg,none
P045,Tokyo Talkies,Tokyo Talkies Men's Beige Slim Trousers,"Beige trousers designed for everyday wear, featuring a slim fit and cotton construction.",Trousers,trousers,Men,beige,cotton,slim,full,solid,599,images/P045.jpg,none
P046,Mast & Harbour,Mast & Harbour Women's White Regular Handbag,"White handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,white,leather,regular,medium,textured,599,images/P046.jpg,none
P047,Sparx,Sparx Jeans,"Black jeans designed for everyday wear, featuring a relaxed fit and denim construction.",Jeans,jeans,Men,black,denim,relaxed,full,solid,1699,images/P047.jpg,none
P048,HERE&NOW,HERE&NOW Men's Beige Relaxed Cargo Pants,"Beige cargo pants designed for everyday wear, featuring a relaxed fit and cotton construction.",Cargo Pants,cargo pants,Men,beige,cotton,relaxed,full,solid,1999,images/P048.jpg,none
P049,Tokyo Talkies,Tokyo Talkies Dress,Blue dress designed for everyday we,Dress,dress,Women,blue,polyester,relaxed,sleeveless,printed,1999,images/P049.jpg,description
P050,Tokyo Talkies,Tokyo Talkies Women's Black Slim Sneakers,"Black sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Women,black,mesh,slim,low-top,solid,699,images/P050.jpg,none
P051,Sparx,Sparx Men's Grey Regular Running Shoes,"Grey running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Men,grey,mesh,regular,low-top,colour-block,1299,images/P051.jpg,none
P052,Sparx,Sparx Women's White Regular Running Shoes,"White running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Women,white,mesh,regular,low-top,colour-block,2999,images/P052.jpg,none
P053,Mast & Harbour,Mast & Harbour Men's Blue Slim Jeans,"Blue jeans designed for everyday wear, featuring a slim fit and denim construction.",Jeans,jeans,Men,blue,denim,slim,full,solid,1299,images/P053.jpg,none
P054,Levis,Levis Women's Blue Slim Dress,"Blue dress designed for everyday wear, featuring a slim fit and polyester construction.",Dress,dress,Women,blue,polyester,slim,sleeveless,floral,1499,images/P054.jpg,none
P055,Levis,Levis Women's Beige Relaxed Trousers,"Beige trousers designed for everyday wear, featuring a relaxed fit and linen construction.",Trousers,trousers,Women,beige,linen,relaxed,full,solid,2499,images/P055.jpg,none
P056,WROGN,WROGN Women's Brown Regular Handbag,"Brown handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,brown,leather,regular,medium,,599,images/P056.jpg,pattern
P057,Libas,Libas Men's Black Slim Trousers,"Black trousers designed for everyday wear, featuring a slim fit and cotton construction.",Trousers,trousers,Men,black,cotton,slim,full,checked,2999,images/P057.jpg,none
P058,WROGN,WROGN T-Shirt,"Black t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,black,cotton,regular,half,graphic,2999,images/P058.jpg,none
P059,Sparx,Sparx Women's Black Relaxed Jeans,"Black jeans designed for everyday wear, featuring a relaxed fit and denim construction.",Jeans,jeans,Women,black,denim,relaxed,full,solid,1699,images/P059.jpg,none
P060,WROGN,WROGN Men's Grey Relaxed Trousers,"Grey trousers designed for everyday wear, featuring a relaxed fit and cotton construction.",Trousers,trousers,Men,grey,cotton,relaxed,full,checked,2999,images/P060.jpg,none
P061,Sparx,Sparx Men's Beige Relaxed Trousers,"Beige trousers designed for everyday wear, featuring a relaxed fit and cotton construction.",Trousers,trousers,Men,beige,cotton,relaxed,full,checked,899,images/P061.jpg,none
P062,Levis,Levis Men's Black Relaxed Jeans,"Black jeans designed for everyday wear, featuring a relaxed fit and denim construction.",Jeans,jeans,Men,black,denim,,full,solid,699,images/P062.jpg,fit
P063,DressBerry,DressBerry T-Shirt,"White t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,white,cotton,regular,half,graphic,1699,images/P063.jpg,none
P064,U.S. Polo Assn.,U.S. Polo Assn. Women's White Regular Handbag,"White handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,white,leather,regular,medium,solid,599,images/P064.jpg,none
P065,Mast & Harbour,Mast & Harbour Sneakers,"Pink sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Women,pink,mesh,slim,low-top,solid,999,images/P065.jpg,none
P066,MANGO,MANGO Women's Beige Relaxed Dress,"Beige dress designed for everyday wear, featuring a relaxed fit and polyester construction.",Dress,dress,Women,beige,polyester,relaxed,sleeveless,floral,1499,images/P066.jpg,none
P067,Sparx,Sparx Women's Black Wide Running Shoes,"Black running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Women,black,mesh,wide,,solid,1299,images/P067.jpg,sleeve
P068,DressBerry,DressBerry Men's Blue Relaxed Jeans,"Blue jeans designed for everyday wear, featuring a relaxed fit and denim construction.",Jeans,jeans,Men,blue,denim,relaxed,full,solid,1199,images/P068.jpg,none
P069,Roadster,Roadster Men's Grey Slim Trousers,"Grey trousers designed for everyday wear, featuring a slim fit and cotton construction.",Trousers,trousers,Men,grey,cotton,slim,full,solid,2999,images/P069.jpg,none
P070,Anouk,Anouk Women's White Relaxed Dress,"White dress designed for everyday wear, featuring a relaxed fit and polyester construction.",Dress,dress,Women,white,polyester,relaxed,sleeveless,solid,599,images/P070.jpg,none
P071,U.S. Polo Assn.,U.S. Polo Assn. Men's Beige Regular Kurta,"Beige kurta designed for everyday wear, featuring a regular fit and cotton construction.",Kurta,kurta,Men,beige,cotton,,full,solid,2499,images/P071.jpg,fit
P072,HRX,HRX Men's Blue Straight Jeans,"Blue jeans designed for everyday wear, featuring a straight fit and denim construction.",Jeans,jeans,Men,blue,denim,straight,full,solid,699,images/P072.jpg,none
P073,Puma,Puma Men's Blue Wide Running Shoes,"Blue running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Men,blue,mesh,wide,low-top,solid,2999,images/P073.jpg,none
P074,DressBerry,DressBerry Women's White Relaxed Trousers,"White trousers designed for everyday wear, featuring a relaxed fit and linen construction.",Trousers,trousers,Women,white,linen,relaxed,full,solid,1699,images/P074.jpg,none
P075,HERE&NOW,HERE&NOW Women's Grey Regular Running Shoes,"Grey running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Women,grey,mesh,regular,low-top,colour-block,1299,images/P075.jpg,none
P076,Libas,Libas Women's White Regular Handbag,"White handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,white,leather,regular,medium,textured,1699,images/P076.jpg,none
P077,DressBerry,DressBerry Men's Grey Slim Trousers,"Grey trousers designed for everyday wear, featuring a slim fit and cotton construction.",Trousers,trousers,Men,grey,cotton,slim,full,checked,899,images/P077.jpg,none
P078,DressBerry,DressBerry Men's Grey Relaxed Cargo Pants,"Grey cargo pants designed for everyday wear, featuring a relaxed fit and cotton construction.",Cargo Pants,cargo pants,Men,grey,cotton,relaxed,full,solid,599,images/P078.jpg,none
P079,HRX,HRX Men's White Wide Sneakers,"White sneakers designed for everyday wear, featuring a wide fit and mesh construction.",Sneakers,sneakers,Men,white,mesh,wide,low-top,colour-block,1999,images/P079.jpg,none
P080,Libas,Libas Men's Beige Regular Kurta,"Beige kurta designed for everyday wear, featuring a regular fit and cotton construction.",Kurta,kurta,Men,beige,cotton,regular,full,solid,1299,images/P080.jpg,none
P081,Anouk,Anouk Women's Olive Relaxed Trousers,"Olive trousers designed for everyday wear, featuring a relaxed fit and linen construction.",Trousers,trousers,Women,olive,linen,,full,checked,599,images/P081.jpg,fit
P082,Tokyo Talkies,Tokyo Talkies Women's Grey Wide Leg Jeans,"Grey jeans designed for everyday wear, featuring a wide leg fit and denim construction.",Jeans,jeans,Women,grey,denim,wide-leg,full,solid,2999,images/P082.jpg,none
P083,HERE&NOW,HERE&NOW Men's Grey Wide Sneakers,Grey sneakers designed for everyday,Sneakers,sneakers,Men,grey,mesh,wide,low-top,colour-block,2999,images/P083.jpg,description
P084,HRX,HRX Women's White Regular Running Shoes,"White running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Women,white,mesh,regular,low-top,solid,2999,images/P084.jpg,none
P085,Mast & Harbour,Mast & Harbour Men's Grey Regular Running Shoes,"Grey running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Men,grey,mesh,,low-top,solid,1199,images/P085.jpg,fit
P086,Libas,Libas Men's Navy Regular T-Shirt,"Navy t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,navy,cotton,regular,half,solid,799,images/P086.jpg,none
P087,U.S. Polo Assn.,U.S. Polo Assn. Men's Black Oversized Shirt,"Black shirt designed for everyday wear, featuring a oversized fit and cotton construction.",Shirt,shirt,Men,black,cotton,oversized,half,striped,1499,images/P087.jpg,none
P088,U.S. Polo Assn.,U.S. Polo Assn. Men's Blue Slim Jeans,"Blue jeans designed for everyday wear, featuring a slim fit and denim construction.",Jeans,jeans,Men,blue,denim,slim,full,solid,699,images/P088.jpg,none
P089,Mast & Harbour,Mast & Harbour Men's White Oversized T-Shirt,"White t-shirt designed for everyday wear, featuring a oversized fit and cotton construction.",T-Shirt,t-shirt,Men,white,cotton,oversized,half,graphic,699,images/P089.jpg,none
P090,U.S. Polo Assn.,U.S. Polo Assn. Men's Red Regular Running Shoes,"Red running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Men,red,mesh,regular,low-top,colour-block,999,images/P090.jpg,none
P091,Sparx,Sparx Men's Grey Slim Jeans,"Grey jeans designed for everyday wear, featuring a slim fit and denim construction.",Jeans,jeans,Men,grey,denim,slim,full,solid,899,images/P091.jpg,none
P092,Tokyo Talkies,Tokyo Talkies Women's Blue Skinny Jeans,"Blue jeans designed for everyday wear, featuring a skinny fit and denim construction.",Jeans,jeans,Women,blue,denim,skinny,full,solid,1499,images/P092.jpg,none
P093,Libas,Libas Men's White Slim Kurta,"White kurta designed for everyday wear, featuring a slim fit and cotton construction.",Kurta,kurta,Men,white,cotton,,three-quarter,embroidered,1499,images/P093.jpg,fit
P094,Sparx,Sparx Men's Beige Slim Trousers,"Beige trousers designed for everyday wear, featuring a slim fit and cotton construction.",Trousers,trousers,Men,beige,cotton,slim,full,solid,799,images/P094.jpg,none
P095,U.S. Polo Assn.,U.S. Polo Assn. Men's Black Regular Shirt,"Black shirt designed for everyday wear, featuring a regular fit and cotton construction.",Shirt,shirt,Men,black,cotton,regular,half,striped,699,images/P095.jpg,none
P096,HERE&NOW,HERE&NOW Women's Grey Slim Sneakers,"Grey sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Women,grey,mesh,slim,low-top,,1999,images/P096.jpg,pattern
P097,Sparx,Sparx Running Shoes,"Grey running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Men,grey,mesh,regular,low-top,solid,1999,images/P097.jpg,none
P098,U.S. Polo Assn.,U.S. Polo Assn. Men's Navy Relaxed Trousers,"Navy trousers designed for everyday wear, featuring a relaxed fit and cotton construction.",Trousers,trousers,Men,navy,cotton,relaxed,full,solid,1699,images/P098.jpg,none
P099,HERE&NOW,HERE&NOW Men's Green Slim T-Shirt,"Green t-shirt designed for everyday wear, featuring a slim fit and cotton construction.",T-Shirt,t-shirt,Men,green,cotton,slim,half,striped,1499,images/P099.jpg,none
P100,Libas,Libas Men's Black Regular Jacket,"Black jacket designed for everyday wear, featuring a regular fit and polyester construction.",Jacket,jacket,Men,black,polyester,regular,full,colour-block,1499,images/P100.jpg,none
P101,DressBerry,DressBerry Women's Red Regular Handbag,"Red handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,red,leather,regular,medium,textured,999,images/P101.jpg,none
P102,Roadster,Roadster Women's Black Slim Sneakers,"Black sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Women,black,mesh,slim,low-top,colour-block,899,images/P102.jpg,none
P103,Levis,Levis Men's Navy Regular Sneakers,"Navy sneakers designed for everyday wear, featuring a regular fit and mesh construction.",Sneakers,sneakers,Men,navy,mesh,regular,low-top,solid,799,images/P103.jpg,none
P104,Libas,Libas Trousers,"Olive trousers designed for everyday wear, featuring a straight fit and linen construction.",Trousers,trousers,Women,olive,linen,straight,full,solid,799,images/P104.jpg,none
P105,HERE&NOW,HERE&NOW Women's Black Regular Sneakers,"Black sneakers designed for everyday wear, featuring a regular fit and mesh construction.",Sneakers,sneakers,Women,black,mesh,regular,low-top,solid,2499,images/P105.jpg,none
P106,MANGO,MANGO Women's White Relaxed Trousers,"White trousers designed for everyday wear, featuring a relaxed fit and linen construction.",Trousers,trousers,Women,white,linen,relaxed,full,checked,1499,images/P106.jpg,none
P107,MANGO,MANGO Women's White Wide Running Shoes,"White running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Women,white,mesh,wide,low-top,solid,699,images/P107.jpg,none
P108,HRX,HRX Women's Grey Slim Sneakers,"Grey sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Women,grey,mesh,slim,low-top,colour-block,2999,images/P108.jpg,none
P109,DressBerry,DressBerry Men's Beige Regular Jacket,"Beige jacket designed for everyday wear, featuring a regular fit and polyester construction.",Jacket,jacket,Men,beige,polyester,regular,full,colour-block,1199,images/P109.jpg,none
P110,Mast & Harbour,Mast & Harbour Men's Grey Regular Sneakers,"Grey sneakers designed for everyday wear, featuring a regular fit and mesh construction.",Sneakers,sneakers,Men,grey,mesh,regular,low-top,,1299,images/P110.jpg,pattern
P111,Roadster,Roadster Men's Grey Slim Trousers,"Grey trousers designed for everyday wear, featuring a slim fit and cotton construction.",Trousers,trousers,Men,grey,cotton,slim,full,solid,799,images/P111.jpg,none
P112,Roadster,Roadster Women's Black Regular Handbag,"Black handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,black,leather,regular,medium,,2999,images/P112.jpg,pattern
P113,Sparx,Sparx Men's Beige Slim Shirt,"Beige shirt designed for everyday wear, featuring a slim fit and cotton construction.",Shirt,shirt,Men,beige,cotton,slim,half,striped,699,images/P113.jpg,none
P114,MANGO,MANGO Women's Red Regular Handbag,"Red handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,red,,regular,medium,textured,1699,images/P114.jpg,material
P115,HERE&NOW,HERE&NOW Men's Olive Regular Jacket,"Olive jacket designed for everyday wear, featuring a regular fit and polyester construction.",Jacket,jacket,Men,olive,polyester,regular,full,solid,2499,images/P115.jpg,none
P116,Anouk,Anouk Men's Navy Regular T-Shirt,"Navy t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,navy,cotton,regular,half,solid,599,images/P116.jpg,none
P117,WROGN,WROGN Men's White Oversized T-Shirt,"White t-shirt designed for everyday wear, featuring a oversized fit and cotton construction.",T-Shirt,t-shirt,Men,white,cotton,oversized,half,,799,images/P117.jpg,pattern
P118,Sparx,Sparx Women's White Straight Jeans,"White jeans designed for everyday wear, featuring a straight fit and denim construction.",Jeans,jeans,Women,white,denim,straight,full,solid,999,images/P118.jpg,none
P119,U.S. Polo Assn.,U.S. Polo Assn. Men's Grey Straight Cargo Pants,"Grey cargo pants designed for everyday wear, featuring a straight fit and cotton construction.",Cargo Pants,cargo pants,Men,grey,cotton,straight,full,solid,1199,images/P119.jpg,none
P120,Tokyo Talkies,Tokyo Talkies Women's Grey Wide Sneakers,"Grey sneakers designed for everyday wear, featuring a wide fit and mesh construction.",Sneakers,sneakers,Women,grey,mesh,wide,,colour-block,1499,images/P120.jpg,sleeve
P121,HRX,HRX Men's Grey Wide Running Shoes,"Grey running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Men,grey,mesh,wide,low-top,solid,599,images/P121.jpg,none
P122,Anouk,Anouk Women's Black Relaxed Trousers,"Black trousers designed for everyday wear, featuring a relaxed fit and linen construction.",Trousers,trousers,Women,black,linen,relaxed,full,checked,899,images/P122.jpg,none
P123,Sparx,Sparx Men's Navy Oversized Jacket,"Navy jacket designed for everyday wear, featuring a oversized fit and polyester construction.",Jacket,jacket,Men,navy,polyester,oversized,full,colour-block,699,images/P123.jpg,none
P124,HERE&NOW,HERE&NOW Men's Blue Slim Jeans,"Blue jeans designed for everyday wear, featuring a slim fit and denim construction.",Jeans,jeans,Men,blue,denim,slim,full,solid,999,images/P124.jpg,none
P125,HRX,HRX Women's Blue Wide Leg Jeans,"Blue jeans designed for everyday wear, featuring a wide leg fit and denim construction.",Jeans,jeans,Women,blue,denim,wide-leg,full,solid,1499,images/P125.jpg,none
P126,WROGN,WROGN Women's Beige Regular Handbag,"Beige handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,beige,leather,regular,medium,textured,899,images/P126.jpg,none
P127,HRX,HRX Women's Grey Regular Sneakers,"Grey sneakers designed for everyday wear, featuring a regular fit and mesh construction.",Sneakers,sneakers,Women,grey,mesh,regular,,colour-block,1699,images/P127.jpg,sleeve
P128,HERE&NOW,HERE&NOW Jacket,Olive jacket designed for everyday ,Jacket,jacket,Men,olive,polyester,oversized,full,colour-block,2499,images/P128.jpg,description
P129,Sparx,Sparx Men's Beige Tapered Cargo Pants,"Beige cargo pants designed for everyday wear, featuring a tapered fit and cotton construction.",Cargo Pants,cargo pants,Men,beige,cotton,tapered,full,solid,1499,images/P129.jpg,none
P130,HRX,HRX Women's Black Regular Sneakers,"Black sneakers designed for everyday wear, featuring a regular fit and mesh construction.",Sneakers,sneakers,Women,black,mesh,,low-top,solid,1499,images/P130.jpg,fit
P131,Puma,Puma Men's Grey Slim T-Shirt,"Grey t-shirt designed for everyday wear, featuring a slim fit and cotton construction.",T-Shirt,t-shirt,Men,grey,cotton,slim,half,graphic,2999,images/P131.jpg,none
P132,Roadster,Roadster Men's Black Slim Jacket,"Black jacket designed for everyday wear, featuring a slim fit and polyester construction.",Jacket,jacket,Men,black,polyester,slim,full,colour-block,2999,images/P132.jpg,none
P133,Roadster,Roadster Women's Grey Skinny Jeans,"Grey jeans designed for everyday wear, featuring a skinny fit and denim construction.",Jeans,jeans,Women,grey,denim,skinny,full,solid,1299,images/P133.jpg,none
P134,Roadster,Roadster Women's White Regular Handbag,White handbag designed for everyday,Handbag,handbag,Women,white,leather,regular,medium,solid,1199,images/P134.jpg,description
P135,MANGO,MANGO Men's White Regular Running Shoes,"White running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Men,white,mesh,regular,low-top,solid,899,images/P135.jpg,none
P136,Levis,Levis Men's Black Straight Cargo Pants,"Black cargo pants designed for everyday wear, featuring a straight fit and cotton construction.",Cargo Pants,cargo pants,Men,black,cotton,straight,full,solid,999,images/P136.jpg,none
