product_id,image_path,image_source,visual_match_status,validation_notes
P043,images/P043.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black wide-leg Jeans (solid, denim) - matches 'Mast & Harbour Women's Black Wide Leg Jeans'"
P044,images/P044.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey relaxed Cargo Pants (solid, cotton) - matches 'Anouk Men's Grey Relaxed Cargo Pants'"
P045,images/P045.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige slim Trousers (solid, cotton) - matches 'Tokyo Talkies Men's Beige Slim Trousers'"
P046,images/P046.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white regular Handbag (textured, leather) - matches 'Mast & Harbour Women's White Regular Handbag'"
P047,images/P047.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black relaxed Jeans (solid, denim) - matches 'Sparx Jeans'"
P048,images/P048.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige relaxed Cargo Pants (solid, cotton) - matches 'HERE&NOW Men's Beige Relaxed Cargo Pants'"
P049,images/P049.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's blue relaxed Dress (printed, polyester) - matches 'Tokyo Talkies Dress'"
P050,images/P050.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black slim Sneakers (solid, mesh) - matches 'Tokyo Talkies Women's Black Slim Sneakers'"
P051,images/P051.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey regular Running Shoes (colour-block, mesh) - matches 'Sparx Men's Grey Regular Running Shoes'"
P052,images/P052.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white regular Running Shoes (colour-block, mesh) - matches 'Sparx Women's White Regular Running Shoes'"
P053,images/P053.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's blue slim Jeans (solid, denim) - matches 'Mast & Harbour Men's Blue Slim Jeans'"
P054,images/P054.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's blue slim Dress (floral, polyester) - matches 'Levis Women's Blue Slim Dress'"
P055,images/P055.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's beige relaxed Trousers (solid, linen) - matches 'Levis Women's Beige Relaxed Trousers'"
P056,images/P056.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's brown regular Handbag (nan, leather) - matches 'WROGN Women's Brown Regular Handbag'"
P057,images/P057.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black slim Trousers (checked, cotton) - matches 'Libas Men's Black Slim Trousers'"
P058,images/P058.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black regular T-Shirt (graphic, cotton) - matches 'WROGN T-Shirt'"
P059,images/P059.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black relaxed Jeans (solid, denim) - matches 'Sparx Women's Black Relaxed Jeans'"
P060,images/P060.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey relaxed Trousers (checked, cotton) - matches 'WROGN Men's Grey Relaxed Trousers'"
P061,images/P061.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige relaxed Trousers (checked, cotton) - matches 'Sparx Men's Beige Relaxed Trousers'"
P062,images/P062.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black nan Jeans (solid, denim) - matches 'Levis Men's Black Relaxed Jeans'"
P063,images/P063.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's white regular T-Shirt (graphic, cotton) - matches 'DressBerry T-Shirt'"
P064,images/P064.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white regular Handbag (solid, leather) - matches 'U.S. Polo Assn. Women's White Regular Handbag'"
P065,images/P065.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's pink slim Sneakers (solid, mesh) - matches 'Mast & Harbour Sneakers'"
P066,images/P066.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's beige relaxed Dress (floral, polyester) - matches 'MANGO Women's Beige Relaxed Dress'"
P067,images/P067.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black wide Running Shoes (solid, mesh) - matches 'Sparx Women's Black Wide Running Shoes'"
P068,images/P068.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's blue relaxed Jeans (solid, denim) - matches 'DressBerry Men's Blue Relaxed Jeans'"
P069,images/P069.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey slim Trousers (solid, cotton) - matches 'Roadster Men's Grey Slim Trousers'"
P070,images/P070.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white relaxed Dress (solid, polyester) - matches 'Anouk Women's White Relaxed Dress'"
P071,images/P071.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige nan Kurta (solid, cotton) - matches 'U.S. Polo Assn. Men's Beige Regular Kurta'"
P072,images/P072.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's blue straight Jeans (solid, denim) - matches 'HRX Men's Blue Straight Jeans'"
P073,images/P073.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's blue wide Running Shoes (solid, mesh) - matches 'Puma Men's Blue Wide Running Shoes'"
P074,images/P074.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white relaxed Trousers (solid, linen) - matches 'DressBerry Women's White Relaxed Trousers'"
P075,images/P075.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's grey regular Running Shoes (colour-block, mesh) - matches 'HERE&NOW Women's Grey Regular Running Shoes'"
P076,images/P076.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white regular Handbag (textured, leather) - matches 'Libas Women's White Regular Handbag'"
P077,images/P077.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey slim Trousers (checked, cotton) - matches 'DressBerry Men's Grey Slim Trousers'"
P078,images/P078.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey relaxed Cargo Pants (solid, cotton) - matches 'DressBerry Men's Grey Relaxed Cargo Pants'"
P079,images/P079.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's white wide Sneakers (colour-block, mesh) - matches 'HRX Men's White Wide Sneakers'"
P080,images/P080.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige regular Kurta (solid, cotton) - matches 'Libas Men's Beige Regular Kurta'"
P081,images/P081.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's olive nan Trousers (checked, linen) - matches 'Anouk Women's Olive Relaxed Trousers'"
P082,images/P082.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's grey wide-leg Jeans (solid, denim) - matches 'Tokyo Talkies Women's Grey Wide Leg Jeans'"
P083,images/P083.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey wide Sneakers (colour-block, mesh) - matches 'HERE&NOW Men's Grey Wide Sneakers'"
P084,images/P084.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white regular Running Shoes (solid, mesh) - matches 'HRX Women's White Regular Running Shoes'"
P085,images/P085.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey nan Running Shoes (solid, mesh) - matches 'Mast & Harbour Men's Grey Regular Running Shoes'"
P086,images/P086.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's navy regular T-Shirt (solid, cotton) - matches 'Libas Men's Navy Regular T-Shirt'"
P087,images/P087.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black oversized Shirt (striped, cotton) - matches 'U.S. Polo Assn. Men's Black Oversized Shirt'"
P088,images/P088.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's blue slim Jeans (solid, denim) - matches 'U.S. Polo Assn. Men's Blue Slim Jeans'"
P089,images/P089.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's white oversized T-Shirt (graphic, cotton) - matches 'Mast & Harbour Men's White Oversized T-Shirt'"
P090,images/P090.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's red regular Running Shoes (colour-block, mesh) - matches 'U.S. Polo Assn. Men's Red Regular Running Shoes'"
P091,images/P091.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey slim Jeans (solid, denim) - matches 'Sparx Men's Grey Slim Jeans'"
P092,images/P092.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's blue skinny Jeans (solid, denim) - matches 'Tokyo Talkies Women's Blue Skinny Jeans'"
P093,images/P093.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's white nan Kurta (embroidered, cotton) - matches 'Libas Men's White Slim Kurta'"
P094,images/P094.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige slim Trousers (solid, cotton) - matches 'Sparx Men's Beige Slim Trousers'"
P095,images/P095.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black regular Shirt (striped, cotton) - matches 'U.S. Polo Assn. Men's Black Regular Shirt'"
P096,images/P096.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's grey slim Sneakers (nan, mesh) - matches 'HERE&NOW Women's Grey Slim Sneakers'"
P097,images/P097.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey regular Running Shoes (solid, mesh) - matches 'Sparx Running Shoes'"
P098,images/P098.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's navy relaxed Trousers (solid, cotton) - matches 'U.S. Polo Assn. Men's Navy Relaxed Trousers'"
P099,images/P099.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's green slim T-Shirt (striped, cotton) - matches 'HERE&NOW Men's Green Slim T-Shirt'"
P100,images/P100.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black regular Jacket (colour-block, polyester) - matches 'Libas Men's Black Regular Jacket'"
P101,images/P101.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's red regular Handbag (textured, leather) - matches 'DressBerry Women's Red Regular Handbag'"
P102,images/P102.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black slim Sneakers (colour-block, mesh) - matches 'Roadster Women's Black Slim Sneakers'"
P103,images/P103.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's navy regular Sneakers (solid, mesh) - matches 'Levis Men's Navy Regular Sneakers'"
P104,images/P104.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's olive straight Trousers (solid, linen) - matches 'Libas Trousers'"
P105,images/P105.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black regular Sneakers (solid, mesh) - matches 'HERE&NOW Women's Black Regular Sneakers'"
P106,images/P106.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white relaxed Trousers (checked, linen) - matches 'MANGO Women's White Relaxed Trousers'"
P107,images/P107.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white wide Running Shoes (solid, mesh) - matches 'MANGO Women's White Wide Running Shoes'"
P108,images/P108.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's grey slim Sneakers (colour-block, mesh) - matches 'HRX Women's Grey Slim Sneakers'"
P109,images/P109.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige regular Jacket (colour-block, polyester) - matches 'DressBerry Men's Beige Regular Jacket'"
P110,images/P110.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey regular Sneakers (nan, mesh) - matches 'Mast & Harbour Men's Grey Regular Sneakers'"
P111,images/P111.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey slim Trousers (solid, cotton) - matches 'Roadster Men's Grey Slim Trousers'"
P112,images/P112.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black regular Handbag (nan, leather) - matches 'Roadster Women's Black Regular Handbag'"
P113,images/P113.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige slim Shirt (striped, cotton) - matches 'Sparx Men's Beige Slim Shirt'"
P114,images/P114.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's red regular Handbag (textured, nan) - matches 'MANGO Women's Red Regular Handbag'"
P115,images/P115.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's olive regular Jacket (solid, polyester) - matches 'HERE&NOW Men's Olive Regular Jacket'"
P116,images/P116.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's navy regular T-Shirt (solid, cotton) - matches 'Anouk Men's Navy Regular T-Shirt'"
P117,images/P117.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's white oversized T-Shirt (nan, cotton) - matches 'WROGN Men's White Oversized T-Shirt'"
P118,images/P118.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white straight Jeans (solid, denim) - matches 'Sparx Women's White Straight Jeans'"
P119,images/P119.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey straight Cargo Pants (solid, cotton) - matches 'U.S. Polo Assn. Men's Grey Straight Cargo Pants'"
P120,images/P120.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's grey wide Sneakers (colour-block, mesh) - matches 'Tokyo Talkies Women's Grey Wide Sneakers'"
P121,images/P121.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey wide Running Shoes (solid, mesh) - matches 'HRX Men's Grey Wide Running Shoes'"
P122,images/P122.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black relaxed Trousers (checked, linen) - matches 'Anouk Women's Black Relaxed Trousers'"
P123,images/P123.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's navy oversized Jacket (colour-block, polyester) - matches 'Sparx Men's Navy Oversized Jacket'"
P124,images/P124.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's blue slim Jeans (solid, denim) - matches 'HERE&NOW Men's Blue Slim Jeans'"
P125,images/P125.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's blue wide-leg Jeans (solid, denim) - matches 'HRX Women's Blue Wide Leg Jeans'"
P126,images/P126.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's beige regular Handbag (textured, leather) - matches 'WROGN Women's Beige Regular Handbag'"
P127,images/P127.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's grey regular Sneakers (colour-block, mesh) - matches 'HRX Women's Grey Regular Sneakers'"
P128,images/P128.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's olive oversized Jacket (colour-block, polyester) - matches 'HERE&NOW Jacket'"
P129,images/P129.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige tapered Cargo Pants (solid, cotton) - matches 'Sparx Men's Beige Tapered Cargo Pants'"
P130,images/P130.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black nan Sneakers (solid, mesh) - matches 'HRX Women's Black Regular Sneakers'"
P131,images/P131.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey slim T-Shirt (graphic, cotton) - matches 'Puma Men's Grey Slim T-Shirt'"
P132,images/P132.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black slim Jacket (colour-block, polyester) - matches 'Roadster Men's Black Slim Jacket'"
P133,images/P133.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's grey skinny Jeans (solid, denim) - matches 'Roadster Women's Grey Skinny Jeans'"
P134,images/P134.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white regular Handbag (solid, leather) - matches 'Roadster Women's White Regular Handbag'"
P135,images/P135.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's white regular Running Shoes (solid, mesh) - matches 'MANGO Men's White Regular Running Shoes'"
P136,images/P136.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black straight Cargo Pants (solid, cotton) - matches 'Levis Men's Black Straight Cargo Pants'"
P137,images/P137.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black regular Handbag (solid, leather) - matches 'Anouk Handbag'"
P138,images/P138.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black straight Jeans (solid, denim) - matches 'Libas Men's Black Straight Jeans'"
P139,images/P139.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's blue regular Running Shoes (colour-block, mesh) - matches 'Puma Women's Blue Regular Running Shoes'"
P140,images/P140.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's olive slim Jacket (solid, polyester) - matches 'U.S. Polo Assn. Men's Olive Slim Jacket'"
