query_id,query,impressions,clicks,orders,ctr,conversion_rate,extracted_intent,relevant_products_count,correctly_matching_count,catalog_coverage,root_cause,affected_products_count,missing_attributes_breakdown,opportunity_score,demand_score,friction_score,gap_score,fixability_score,recommended_action
Q011,slim fit jeans men,7400,180,40,0.0243,0.2222,"{""gender"": ""Men"", ""category"": ""Jeans"", ""color"": null, ""fit"": ""slim"", ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""slim"", ""fit"", ""jeans"", ""men""]}",12,8,0.6667,NO_CATALOG_GAP_DETECTED,0,{},54.5,67.9,65.6,33.3,10.0,Healthy discovery (66% coverage). Monitor conversion and customer review ratings.
Q012,floral maxi dress women,6500,150,31,0.0231,0.2067,"{""gender"": ""Women"", ""category"": ""Dresses"", ""color"": null, ""fit"": null, ""material"": null, ""pattern"": ""floral"", ""sleeve"": null, ""raw_tokens"": [""floral"", ""maxi"", ""dress"", ""women""]}",20,5,0.25,ATTRIBUTE_GAP,15,"{""pattern"": 15}",65.6,51.8,67.8,75.0,95.0,Enrich metadata on 15 relevant catalog items with missing query attributes to raise discovery coverage from 25% to 100%.
Q013,navy blue formal trousers men,4100,85,15,0.0207,0.1765,"{""gender"": ""Men"", ""category"": ""Trousers"", ""color"": ""navy"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""navy"", ""blue"", ""formal"", ""trousers"", ""men""]}",18,0,0.0,ATTRIBUTE_GAP,18,"{""color"": 18}",54.7,8.9,72.0,100.0,95.0,Enrich metadata on 18 relevant catalog items with missing query attributes (color='navy') to raise discovery coverage from 0% to 100%.
Q014,printed anarkali kurta women,5100,115,24,0.0225,0.2087,"{""gender"": ""Women"", ""category"": ""Kurtas"", ""color"": null, ""fit"": null, ""material"": null, ""pattern"": ""printed"", ""sleeve"": null, ""raw_tokens"": [""printed"", ""anarkali"", ""kurta"", ""women""]}",2,0,0.0,INVENTORY_GAP,0,{},54.6,26.8,67.9,100.0,35.0,Procure/onboard Women Kurtas inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q015,waterproof running shoes women,6200,75,12,0.0121,0.16,"{""gender"": ""Women"", ""category"": ""Running Shoes"", ""color"": null, ""fit"": null, ""material"": ""waterproof"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""waterproof"", ""running"", ""shoes"", ""women""]}",2,1,0.5,INVENTORY_GAP,0,{},55.5,46.4,78.0,50.0,35.0,Procure/onboard Women Running Shoes inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q016,white silk ethnic jacket women,5400,60,8,0.0111,0.1333,"{""gender"": ""Women"", ""category"": ""Jackets"", ""color"": ""white"", ""fit"": null, ""material"": ""silk"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""white"", ""silk"", ""ethnic"", ""jacket"", ""women""]}",2,0,0.0,INVENTORY_GAP,0,{},60.7,32.1,81.1,100.0,35.0,Procure/onboard Women Jackets inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q017,green running shoes women,4300,50,8,0.0116,0.16,"{""gender"": ""Women"", ""category"": ""Running Shoes"", ""color"": ""green"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""green"", ""running"", ""shoes"", ""women""]}",2,0,0.0,INVENTORY_GAP,0,{},52.0,12.5,78.2,100.0,35.0,Procure/onboard Women Running Shoes inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q018,maroon embroidered kurta women,5700,70,11,0.0123,0.1571,"{""gender"": ""Women"", ""category"": ""Kurtas"", ""color"": ""maroon"", ""fit"": null, ""material"": null, ""pattern"": ""embroidered"", ""sleeve"": null, ""raw_tokens"": [""maroon"", ""embroidered"", ""kurta"", ""women""]}",2,0,0.0,INVENTORY_GAP,0,{},61.9,37.5,78.1,100.0,35.0,Procure/onboard Women Kurtas inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q019,black sneakers women,8300,110,18,0.0133,0.1636,"{""gender"": ""Women"", ""category"": ""Sneakers"", ""color"": ""black"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""black"", ""sneakers"", ""women""]}",4,1,0.25,ATTRIBUTE_GAP,3,"{""color"": 3}",81.2,83.9,77.0,75.0,95.0,Enrich metadata on 3 relevant catalog items with missing query attributes (color='black') to raise discovery coverage from 25% to 100%.
Q020,yellow linen trousers women,3900,45,7,0.0115,0.1556,"{""gender"": ""Women"", ""category"": ""Trousers"", ""color"": ""yellow"", ""fit"": null, ""material"": ""linen"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""yellow"", ""linen"", ""trousers"", ""women""]}",2,0,0.0,INVENTORY_GAP,0,{},49.3,5.4,78.7,100.0,35.0,Procure/onboard Women Trousers inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q021,silk anarkali kurta women,5800,68,12,0.0117,0.1765,"{""gender"": ""Women"", ""category"": ""Kurtas"", ""color"": null, ""fit"": null, ""material"": ""silk"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""silk"", ""anarkali"", ""kurta"", ""women""]}",2,0,0.0,INVENTORY_GAP,0,{},62.2,39.3,76.5,100.0,35.0,Procure/onboard Women Kurtas inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q022,red leather jacket women,5100,62,10,0.0122,0.1613,"{""gender"": ""Women"", ""category"": ""Jackets"", ""color"": ""red"", ""fit"": null, ""material"": ""leather"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""red"", ""leather"", ""jacket"", ""women""]}",2,0,0.0,INVENTORY_GAP,0,{},57.6,26.8,77.8,100.0,35.0,Procure/onboard Women Jackets inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q023,women formal trousers,4400,55,9,0.0125,0.1636,"{""gender"": ""Women"", ""category"": ""Trousers"", ""color"": null, ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""women"", ""formal"", ""trousers""]}",2,2,1.0,INVENTORY_GAP,0,{},32.4,14.3,77.4,0.0,35.0,Procure/onboard Women Trousers inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q024,women bomber jacket,4700,60,10,0.0128,0.1667,"{""gender"": ""Women"", ""category"": ""Jackets"", ""color"": null, ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""women"", ""bomber"", ""jacket""]}",2,2,1.0,INVENTORY_GAP,0,{},34.4,19.6,76.9,0.0,35.0,Procure/onboard Women Jackets inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q025,white athletic running shoes women,4200,48,7,0.0114,0.1458,"{""gender"": ""Women"", ""category"": ""Running Shoes"", ""color"": ""white"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""white"", ""athletic"", ""running"", ""shoes"", ""women""]}",2,0,0.0,INVENTORY_GAP,0,{},51.7,10.7,79.7,100.0,35.0,Procure/onboard Women Running Shoes inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q026,women leather sneakers,4900,58,9,0.0118,0.1552,"{""gender"": ""Women"", ""category"": ""Sneakers"", ""color"": null, ""fit"": null, ""material"": ""leather"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""women"", ""leather"", ""sneakers""]}",4,3,0.75,NO_CATALOG_GAP_DETECTED,0,{},38.9,23.2,78.6,25.0,10.0,Healthy discovery (75% coverage). Monitor conversion and customer review ratings.
Q027,women casual shirts,4600,52,8,0.0113,0.1538,"{""gender"": ""Women"", ""category"": ""Shirts"", ""color"": null, ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""women"", ""casual"", ""shirts""]}",2,2,1.0,INVENTORY_GAP,0,{},34.4,17.9,79.0,0.0,35.0,Procure/onboard Women Shirts inventory. High search volume exists with fewer than 4 matching items in the active catalog.
Q028,formal white shirt men,7100,490,168,0.069,0.3429,"{""gender"": ""Men"", ""category"": ""Shirts"", ""color"": ""white"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""formal"", ""white"", ""shirt"", ""men""]}",18,9,0.5,ATTRIBUTE_GAP,9,"{""color"": 9}",53.9,62.5,31.2,50.0,95.0,Enrich metadata on 9 relevant catalog items with missing query attributes (color='white') to raise discovery coverage from 50% to 100%.
Q029,casual blue shirt men,6800,440,142,0.0647,0.3227,"{""gender"": ""Men"", ""category"": ""Shirts"", ""color"": ""blue"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""casual"", ""blue"", ""shirt"", ""men""]}",18,5,0.2778,ATTRIBUTE_GAP,13,"{""color"": 13}",57.4,57.1,35.4,72.2,95.0,Enrich metadata on 13 relevant catalog items with missing query attributes (color='blue') to raise discovery coverage from 27% to 100%.
Q030,cotton t-shirt men,6200,390,125,0.0629,0.3205,"{""gender"": ""Men"", ""category"": ""T-shirts"", ""color"": null, ""fit"": null, ""material"": ""cotton"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""cotton"", ""t-shirt"", ""men""]}",18,14,0.7778,NO_CATALOG_GAP_DETECTED,0,{},34.9,46.4,36.5,22.2,10.0,Healthy discovery (77% coverage). Monitor conversion and customer review ratings.
Q031,black running shoes men,5900,370,118,0.0627,0.3189,"{""gender"": ""Men"", ""category"": ""Running Shoes"", ""color"": ""black"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""black"", ""running"", ""shoes"", ""men""]}",18,12,0.6667,NO_CATALOG_GAP_DETECTED,0,{},35.1,41.1,36.8,33.3,10.0,Healthy discovery (66% coverage). Monitor conversion and customer review ratings.
Q032,blue slim jeans men,5600,350,112,0.0625,0.32,"{""gender"": ""Men"", ""category"": ""Jeans"", ""color"": ""blue"", ""fit"": ""slim"", ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""blue"", ""slim"", ""jeans"", ""men""]}",12,8,0.6667,NO_CATALOG_GAP_DETECTED,0,{},33.0,35.7,36.8,33.3,10.0,Healthy discovery (66% coverage). Monitor conversion and customer review ratings.
Q033,casual denim jacket men,5200,320,98,0.0615,0.3063,"{""gender"": ""Men"", ""category"": ""Jackets"", ""color"": null, ""fit"": null, ""material"": ""denim"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""casual"", ""denim"", ""jacket"", ""men""]}",18,15,0.8333,NO_CATALOG_GAP_DETECTED,0,{},27.4,28.6,38.6,16.7,10.0,Healthy discovery (83% coverage). Monitor conversion and customer review ratings.
Q034,women tote handbag,4900,300,92,0.0612,0.3067,"{""gender"": ""Women"", ""category"": ""Handbags"", ""color"": null, ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""women"", ""tote"", ""handbag""]}",20,20,1.0,NO_CATALOG_GAP_DETECTED,0,{},21.9,23.2,38.7,0.0,10.0,Healthy discovery (100% coverage). Monitor conversion and customer review ratings.
Q035,women pink dress,4700,280,86,0.0596,0.3071,"{""gender"": ""Women"", ""category"": ""Dresses"", ""color"": ""pink"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""women"", ""pink"", ""dress""]}",20,9,0.45,ATTRIBUTE_GAP,11,"{""color"": 11}",40.2,19.6,39.5,55.0,95.0,Enrich metadata on 11 relevant catalog items with missing query attributes (color='pink') to raise discovery coverage from 45% to 100%.
Q036,white sneakers men,6400,410,134,0.0641,0.3268,"{""gender"": ""Men"", ""category"": ""Sneakers"", ""color"": ""white"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""white"", ""sneakers"", ""men""]}",18,11,0.6111,NO_CATALOG_GAP_DETECTED,0,{},39.4,50.0,35.3,38.9,10.0,Healthy discovery (61% coverage). Monitor conversion and customer review ratings.
Q037,solid black t shirt men,4200,260,80,0.0619,0.3077,"{""gender"": ""Men"", ""category"": ""Shirts"", ""color"": ""black"", ""fit"": null, ""material"": null, ""pattern"": ""solid"", ""sleeve"": null, ""raw_tokens"": [""solid"", ""black"", ""t"", ""shirt"", ""men""]}",18,0,0.0,ATTRIBUTE_GAP,18,"{""color"": 17, ""pattern"": 14}",45.3,10.7,38.3,100.0,95.0,Enrich metadata on 18 relevant catalog items with missing query attributes (color='black') to raise discovery coverage from 0% to 100%.
Q038,brown leather handbag women,3600,220,68,0.0611,0.3091,"{""gender"": ""Women"", ""category"": ""Handbags"", ""color"": ""brown"", ""fit"": null, ""material"": ""leather"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""brown"", ""leather"", ""handbag"", ""women""]}",20,10,0.5,ATTRIBUTE_GAP,10,"{""material"": 8, ""color"": 9}",31.0,0.0,38.5,50.0,95.0,"Enrich metadata on 10 relevant catalog items with missing query attributes (color='brown', material='leather') to raise discovery coverage from 50% to 100%."
Q039,leather handbag women,6900,420,138,0.0609,0.3286,"{""gender"": ""Women"", ""category"": ""Handbags"", ""color"": null, ""fit"": null, ""material"": ""leather"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""leather"", ""handbag"", ""women""]}",20,12,0.6,NO_CATALOG_GAP_DETECTED,0,{},43.6,58.9,36.7,40.0,10.0,Healthy discovery (60% coverage). Monitor conversion and customer review ratings.
Q040,cotton summer dress women,7900,460,152,0.0582,0.3304,"{""gender"": ""Women"", ""category"": ""Dresses"", ""color"": null, ""fit"": null, ""material"": ""cotton"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""cotton"", ""summer"", ""dress"", ""women""]}",20,2,0.1,ATTRIBUTE_GAP,18,"{""material"": 18}",69.6,76.8,37.9,90.0,95.0,Enrich metadata on 18 relevant catalog items with missing query attributes (material='cotton') to raise discovery coverage from 10% to 100%.
